Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
influxdb.c(7): web_get_int_property started  	[MsgId: MMSG-26355]
influxdb.c(7): web_get_int_property was successful  	[MsgId: MMSG-26392]
influxdb.c(8): web_get_int_property started  	[MsgId: MMSG-26355]
influxdb.c(8): web_get_int_property was successful  	[MsgId: MMSG-26392]
influxdb.c(9): web_get_int_property started  	[MsgId: MMSG-26355]
influxdb.c(9): web_get_int_property was successful  	[MsgId: MMSG-26392]
influxdb.c(11): web_get_int_property started  	[MsgId: MMSG-26355]
influxdb.c(11): web_get_int_property was successful  	[MsgId: MMSG-26392]
Create_task.c(188): web_custom_request("/api/ticket/") started  	[MsgId: MMSG-26355]
Create_task.c(188): Continuing after Error -26612: HTTP Status-Code=500 (Internal Server Error) for "http://learning2.pflb.ru:56902/api/ticket/"  	[MsgId: MERR-26612]
End auto log messages stack.	[MsgId: MMSG-10544]


